city,lat,lng,group
Cintalapa de Figueroa,16.6978,-93.7203,A
Valladolid,20.6894,-88.2017,A
Jiménez,27.13,-104.9067,B
San Pedro Mixtepec,16.0,-97.1169,A
Colonia del Sol,22.9125,-109.9208,B
Cuetzalan,20.0333,-97.5167,C
Ocosingo,16.9072,-92.0961,A
Pabellón de Arteaga,22.15,-102.2667,B
Buena Vista Tomatlán,19.2102,-102.5869,B
Chenalhó,16.9333,-92.5667,C
Calimaya,19.1608,-99.6172,C
Santiago,25.4333,-100.1333,C
Teotihuacan,19.6897,-98.8608,C
Santa Ana Chiautempan,19.3167,-98.1833,C
San Francisco de los Romo,22.0833,-102.2667,B
La Independencia,16.2526,-92.0237,C
Tlalmanalco,19.2044,-98.8025,C
Acaxochitlán,20.1667,-98.2,C
Santa María Huatulco,15.85,-96.3333,A
Guacharachi,27.15,-107.3167,C
Cuautepec de Hinojosa,20.15,-98.4333,C
Ciudad de Huajuapam de León,17.8,-97.7667,C
Montemorelos,25.1872,-99.8267,C
Tres Valles,18.1667,-96.0167,A
Meoqui,28.2722,-105.4819,B
Jalacingo,19.8,-97.3,C
Petatlán,17.5383,-101.2739,A
Tlajomulco de Zúñiga,20.4736,-103.4431,C
Zongolica,18.6667,-97.0,C
Ciudad Constitución,25.0322,-111.6703,B
Pedro Celestino Negrete,24.726,-102.984,B
Loreto,22.2667,-101.9833,B
Actopan,19.5036,-96.6192,A
Isla,18.0333,-95.5333,A
Hueyapan de Ocampo,18.15,-95.15,A
Villa de Zaachila,16.9508,-96.7492,B
Ocozocoautla de Espinosa,16.7625,-93.375,A
Jesús María,21.9667,-102.35,B
Tepalcatepec,19.1833,-102.85,B
Atenco,19.5167,-98.9167,B
Tecoanapa,16.8,-99.15,A
Acatlán de Pérez Figueroa,18.5333,-96.6,A
Jocotepec,20.2863,-103.4304,C
Coyuca de Catalán,18.3256,-100.6992,A
Santa María Atzompa,17.1014,-96.7778,B
Coyotepec,19.75,-99.1711,C
Jáltipan de Morelos,17.9703,-94.7144,A
Tezoyuca,19.5903,-98.9083,C
