name,state,population,latitude,longitude
Teotihuacan,México,46779.0,19.6897,-98.8608
Santa Ana Chiautempan,Tlaxcala,46776.0,19.3167,-98.1833
San Francisco de los Romo,Aguascalientes,46454.0,22.0833,-102.2667
La Independencia,Chiapas,46409.0,16.2526,-92.0237
Tlalmanalco,México,46130.0,19.2044,-98.8025
Acaxochitlán,Hidalgo,46065.0,20.1667,-98.2
Santa María Huatulco,Oaxaca,45680.0,15.85,-96.3333
Guacharachi,Chihuahua,45544.0,27.15,-107.3167
Cuautepec de Hinojosa,Hidalgo,45527.0,20.15,-98.4333
Ciudad de Huajuapam de León,Oaxaca,45321.0,17.8,-97.7667
Montemorelos,Nuevo León,45108.0,25.1872,-99.8267
Tres Valles,Veracruz,44978.0,18.1667,-96.0167
Meoqui,Chihuahua,44853.0,28.2722,-105.4819
Jalacingo,Veracruz,44488.0,19.8,-97.3
Petatlán,Guerrero,44485.0,17.5383,-101.2739
Tlajomulco de Zúñiga,Jalisco,44103.0,20.4736,-103.4431
Zongolica,Veracruz,43871.0,18.6667,-97.0
Ciudad Constitución,Baja California Sur,43805.0,25.0322,-111.6703
Pedro Celestino Negrete,Durango,43447.0,24.726,-102.984
Loreto,Zacatecas,43411.0,22.2667,-101.9833
Actopan,Veracruz,43388.0,19.5036,-96.6192
Isla,Veracruz,43349.0,18.0333,-95.5333
Hueyapan de Ocampo,Veracruz,43309.0,18.15,-95.15
Villa de Zaachila,Oaxaca,43279.0,16.9508,-96.7492
Ocozocoautla de Espinosa,Chiapas,43247.0,16.7625,-93.375
Jesús María,Aguascalientes,43012.0,21.9667,-102.35
Tepalcatepec,Michoacán,42879.0,19.1833,-102.85
Atenco,México,42739.0,19.5167,-98.9167
Tecoanapa,Guerrero,42619.0,16.8,-99.15
Acatlán de Pérez Figueroa,Oaxaca,42347.0,18.5333,-96.6
Jocotepec,Jalisco,42164.0,20.2863,-103.4304
Coyuca de Catalán,Guerrero,42069.0,18.3256,-100.6992
Santa María Atzompa,Oaxaca,41921.0,17.1014,-96.7778
Coyotepec,México,41810.0,19.75,-99.1711
Jáltipan de Morelos,Veracruz,41644.0,17.9703,-94.7144
Tezoyuca,México,41333.0,19.5903,-98.9083
Yajalón,Chiapas,40285.0,17.1833,-92.3167
Camargo,Chihuahua,40221.0,27.667,-105.167
Cihuatlán,Jalisco,40139.0,19.25,-104.5667
Heroica Ciudad de Tlaxiaco,Oaxaca,40123.0,17.2077,-97.6798
Zimapan,Hidalgo,39927.0,20.7333,-99.3833
Yecapixtla,Morelos,39859.0,18.8833,-98.865
Matías Romero,Oaxaca,39828.0,16.8667,-95.0333
Temascal,Oaxaca,39680.0,18.2394,-96.4031
Villa del Carbón,México,39587.0,19.7272,-99.5417
Apan,Hidalgo,39247.0,19.7,-98.4333
