"","city","lat","lng","group"
"347","Axochiapan",18.5,-98.75,"A"
"348","Nueva Rosita",27.9372,-101.2172,"B"
"349","Ciudad Melchor Múzquiz",27.8667,-101.5,"C"
"350","Galeana",24.8333,-100.0667,"B"
"351","Juan Rodríguez Clara",18,-95.4,"A"
"352","Empalme",27.9617,-110.8125,"B"
"353","Zacatelco",19.2167,-98.2333,"C"
"354","Santa Clara del Cobre",19.405,-101.638,"C"
"355","San Felipe Orizatlán",21.1719,-98.6064,"A"
"356","Xico",19.417,-97,"C"
"357","Zacualtipán",20.65,-98.65,"C"
"358","Cananea",30.9828,-110.3017,"C"
"359","Tlapa de Comonfort",17.5461,-98.5764,"A"
"360","San Juan Cancuc",16.9333,-92.3833,"A"
"361","Ameca",20.5486,-104.0431,"C"
"362","Tlalixcoyan",18.8031,-96.0611,"A"
"363","Calpulalpan",19.5869,-98.5683,"C"
"364","Jalapa",17.7,-92.8,"A"
"365","Mixquiahuala de Juarez",20.2311,-99.2131,"B"
"366","Melchor Ocampo",19.7083,-99.1444,"C"
"367","Villaflores",16.2355,-93.2677,"A"
"368","Tuxpan",19.5539,-103.3756,"A"
"369","Perote",19.5619,-97.2419,"C"
"370","Paracho de Verduzco",19.65,-102.0667,"C"
"371","Progreso",21.2828,-89.6636,"B"
"372","Mariano Escobedo",18.9167,-97.1333,"C"
"373","Salvatierra",20.2156,-100.8961,"C"
"374","Ciudad Manuel Doblado",20.7303,-101.9533,"C"
"375","Sayula",19.8667,-103.6167,"C"
"376","Jaral del Progreso",20.3667,-101.0667,"C"
"377","Tomatlán",19.9369,-105.25,"A"
"378","Santiago Juxtlahuaca",17.3333,-98.0167,"C"
"379","Coatepec Harinas",18.9,-99.7167,"C"
"380","Zacatepec",18.6833,-99.1833,"A"
"381","Berriozábal",16.8003,-93.2733,"A"
"382","Miahuatlán de Porfirio Díaz",16.3167,-96.5833,"B"
"383","Tamuín",22,-98.7833,"A"
"384","Tonalá",16.0914,-93.7518,"A"
"385","Ciudad de Allende",25.2833,-100.0167,"C"
"386","Tangancícuaro de Arista",19.887,-102.208,"C"
"387","Soteapan",18.2333,-94.8667,"A"
"388","Río Grande",23.8225,-103.0361,"B"
"389","Tenosique",17.4756,-91.4225,"A"
"390","Ocuilan de Arteaga",19,-99.4,"C"
"391","Santa Ana Nextlalpan",19.7167,-99.0667,"C"
"392","La Huacana",18.9625,-101.8069,"A"
"393","Tepeji del Río de Ocampo",19.9039,-99.3414,"C"
"394","Acatlán de Osorio",18.2086,-98.0575,"B"
"395","San Juan Evangelista",17.8833,-95.1333,"A"
"396","Parras de la Fuente",25.4403,-102.1792,"B"
"397","Zacatlán",19.9319,-97.96,"C"
